interactor A gene symbol,interactor B gene symbol,interactor A Uniprot AC,interactor B Uniprot AC,database source
IFNG,IFNG,P01579,P01579,BioGRID
CCL2,CCL2,P13500,P13500,BioGRID
TGFB1,CXCL10,P01137,P02778,IID
TGFB1,TGFB1,P01137,P01137,IID
TGFB1,IL6,P01137,P05231,IID
TGFB1,TNF,P01137,P01375,IID
TGFB1,LTA,P01137,P01374,IID
TGFB1,CCL2,P01137,P13500,IID
LTA,TNF,P01374,P01375,IID
LTA,IL4R,P01374,P24394,IID
LTA,LTA,P01374,P01374,IID
TNF,IL6,P01375,P05231,IID
TNF,TNF,P01375,P01375,IID
TNF,CXCL9,P01375,Q07325,IID
TNF,IL1B,P01375,P01584,IID
TNF,CCL2,P01375,P13500,IID
TNF,IFNG,P01375,P01579,IID
IFNG,IFNG,P01579,P01579,IID
IL1B,IL12B,P01584,P29460,IID
IL1B,IL1B,P01584,P01584,IID
IL1B,IL6,P01584,P05231,IID
IL1B,IL1RN,P01584,P18510,IID
IL1B,IL4R,P01584,P24394,IID
IL1B,CCL2,P01584,P13500,IID
HLA-DQB1,IL10RA,P01920,Q13651,IID
HLA-DQB1,HLA-DPB1,P01920,P04440,IID
CXCL10,CXCL10,P02778,P02778,IID
CXCL10,CCR5,P02778,P51681,IID
CXCL10,IL10RA,P02778,Q13651,IID
CXCL10,CCL2,P02778,P13500,IID
CXCL10,CXCL9,P02778,Q07325,IID
HLA-DPB1,CXCL9,P04440,Q07325,IID
HLA-DPB1,IL10RA,P04440,Q13651,IID
IL6,IL6,P05231,P05231,IID
IL6,CCL2,P05231,P13500,IID
IL6,IL10RA,P05231,Q13651,IID
IL6,IL4R,P05231,P24394,IID
IL6,IL12B,P05231,P29460,IID
CCL2,CCR5,P13500,P51681,IID
CCL2,CCL2,P13500,P13500,IID
CCL2,CXCL9,P13500,Q07325,IID
IL1RN,IL1RN,P18510,P18510,IID
IL4R,IL12B,P24394,P29460,IID
IL4R,IL4R,P24394,P24394,IID
IL4R,IL10RA,P24394,Q13651,IID
IL12B,IL12B,P29460,P29460,IID
CCR5,CCR5,P51681,P51681,IID
CCR5,IL10RA,P51681,Q13651,IID
CCR5,CXCL9,P51681,Q07325,IID
CXCL9,CXCL9,Q07325,Q07325,IID
CXCL9,IL10RA,Q07325,Q13651,IID
