interactor A gene symbol,interactor B gene symbol,interactor A Uniprot AC,interactor B Uniprot AC,database source
IFNG,STAT6,P01579,A8K4S9,BioGRID
IFNG,IFNGR2,P01579,P38484,BioGRID
IFNG,IFNGR1,P01579,E1P587,BioGRID
IFNG,IFNG,P01579,P01579,BioGRID
IFNG,GOPC,P01579,Q9HD26,BioGRID
IL12B,ERP44,P29460,Q6UW14,BioGRID
IL12B,IL23A,P29460,Q9NPF7,BioGRID
LTA,CREB3,P01374,O43889,BioGRID
LTA,TNFRSF1A,P01374,A8K4X3,BioGRID
LTA,ANKRD40,P01374,Q6AI12,BioGRID
LTA,SLC30A2,P01374,Q71RC8,BioGRID
LTA,TNFRSF1B,P01374,Q16042,BioGRID
LTA,TUBA1B,P01374,Q27I68,BioGRID
LTA,UMOD,P01374,B3KP48,BioGRID
LTA,LGALS2,P01374,P05162,BioGRID
LTA,LTB,P01374,P78370,BioGRID
CCL2,MCM2,P13500,Q8N2V1,BioGRID
CCL2,CDC45,P13500,Q9UP68,BioGRID
CCL2,MCM3,P13500,J3KQ69,BioGRID
CCL2,PCNA,P13500,P12004,BioGRID
CCL2,ORC4,P13500,B7Z5F1,BioGRID
CCL2,ORC2,P13500,Q13204,BioGRID
CCL2,ACKR1,P13500,Q16300,BioGRID
CCL2,MCM7,P13500,Q96D34,BioGRID
CCL2,Ccr2,P13500,Q61172,BioGRID
CCL2,CDC6,P13500,Q8TB30,BioGRID
CCL2,CCL2,P13500,P13500,BioGRID
TGFB1,PRSS50,P01137,Q9UI38,IID
TGFB1,RARG,P01137,P13631,IID
TGFB1,MYD88,P01137,Q99836,IID
TGFB1,HCLS1,P01137,P14317,IID
TGFB1,LHX9,P01137,Q9NQ69,IID
TGFB1,ITGB8,P01137,P26012,IID
TGFB1,STAT6,P01137,P42226,IID
TGFB1,ANGPT1,P01137,Q15389,IID
TGFB1,GML,P01137,Q99445,IID
TGFB1,TSC22D1,P01137,Q15714,IID
TGFB1,ACVR1,P01137,Q04771,IID
TGFB1,CHIA,P01137,Q9BZP6,IID
TGFB1,LIF,P01137,P15018,IID
TGFB1,CD1D,P01137,P15813,IID
TGFB1,HLA-DOA,P01137,P06340,IID
TGFB1,CD274,P01137,Q9NZQ7,IID
TGFB1,TRIM22,P01137,Q8IYM9,IID
TGFB1,BGN,P01137,P21810,IID
TGFB1,LTB,P01137,Q06643,IID
TGFB1,PRLR,P01137,P16471,IID
TGFB1,SOAT1,P01137,P35610,IID
TGFB1,BNIP3,P01137,Q12983,IID
TGFB1,POT1,P01137,Q9NUX5,IID
TGFB1,VAV2,P01137,P52735,IID
TGFB1,CXCL10,P01137,P02778,IID
TGFB1,DCN,P01137,P07585,IID
TGFB1,SKI,P01137,P12755,IID
TGFB1,FBXW7,P01137,Q969H0,IID
TGFB1,HBEGF,P01137,Q99075,IID
TGFB1,E2F1,P01137,Q01094,IID
TGFB1,APLP2,P01137,Q06481,IID
TGFB1,RELB,P01137,Q01201,IID
TGFB1,CD74,P01137,P04233,IID
TGFB1,NUMBL,P01137,Q9Y6R0,IID
TGFB1,TGFB1,P01137,P01137,IID
TGFB1,GATA4,P01137,P43694,IID
TGFB1,IGFBP1,P01137,P08833,IID
TGFB1,COL8A2,P01137,P25067,IID
TGFB1,CD48,P01137,P09326,IID
TGFB1,GLI2,P01137,P10070,IID
TGFB1,LTBP2,P01137,Q14767,IID
TGFB1,P2RX4,P01137,Q99571,IID
TGFB1,EIF1AX,P01137,P47813,IID
TGFB1,LYN,P01137,P07948,IID
TGFB1,FOXC1,P01137,Q12948,IID
TGFB1,ADORA2A,P01137,P29274,IID
TGFB1,WNT5A,P01137,P41221,IID
TGFB1,APLP1,P01137,P51693,IID
TGFB1,MYH9,P01137,P35579,IID
TGFB1,IRS1,P01137,P35568,IID
TGFB1,KIT,P01137,P10721,IID
TGFB1,GDF7,P01137,Q7Z4P5,IID
TGFB1,CAV1,P01137,Q03135,IID
TGFB1,GJA4,P01137,P35212,IID
TGFB1,TFPI,P01137,P10646,IID
TGFB1,ADAM9,P01137,Q13443,IID
TGFB1,BMPR2,P01137,Q13873,IID
TGFB1,DGKD,P01137,Q16760,IID
TGFB1,DSG1,P01137,Q02413,IID
TGFB1,ACVR2B,P01137,Q13705,IID
TGFB1,THRSP,P01137,Q92748,IID
TGFB1,HAS2,P01137,Q92819,IID
TGFB1,RNF4,P01137,P78317,IID
TGFB1,ALYREF,P01137,Q86V81,IID
TGFB1,APC,P01137,P25054,IID
TGFB1,EIF3I,P01137,Q13347,IID
TGFB1,ETS1,P01137,P14921,IID
TGFB1,MMP2,P01137,P08253,IID
TGFB1,SDC1,P01137,P18827,IID
TGFB1,PXN,P01137,P49023,IID
TGFB1,IRAK1,P01137,P51617,IID
TGFB1,TRIM35,P01137,Q9UPQ4,IID
TGFB1,VDR,P01137,P11473,IID
TGFB1,HTRA1,P01137,Q92743,IID
TGFB1,MEOX2,P01137,P50222,IID
TGFB1,LRRC23,P01137,Q53EV4,IID
TGFB1,MMP14,P01137,P50281,IID
TGFB1,ICAM3,P01137,P32942,IID
TGFB1,NID1,P01137,P14543,IID
TGFB1,CD37,P01137,P11049,IID
TGFB1,TGFB2,P01137,P61812,IID
TGFB1,PRKCD,P01137,Q05655,IID
TGFB1,PCSK5,P01137,Q92824,IID
TGFB1,YBX3,P01137,P16989,IID
TGFB1,YWHAE,P01137,P62258,IID
TGFB1,NID2,P01137,Q14112,IID
TGFB1,IRAK3,P01137,Q9Y616,IID
TGFB1,BMP6,P01137,P22004,IID
TGFB1,CD164,P01137,Q04900,IID
TGFB1,IKZF2,P01137,Q9UKS7,IID
TGFB1,TP53,P01137,P04637,IID
TGFB1,LIMS1,P01137,P48059,IID
TGFB1,DPT,P01137,Q07507,IID
TGFB1,GIPR,P01137,P48546,IID
TGFB1,MMP9,P01137,P14780,IID
TGFB1,RCAN1,P01137,P53805,IID
TGFB1,EPS15,P01137,P42566,IID
TGFB1,COL3A1,P01137,P02461,IID
TGFB1,TNFRSF1A,P01137,P19438,IID
TGFB1,COL2A1,P01137,P02458,IID
TGFB1,IFNGR2,P01137,P38484,IID
TGFB1,TRAF6,P01137,Q9Y4K3,IID
TGFB1,FOXC2,P01137,Q99958,IID
TGFB1,PYCARD,P01137,Q9ULZ3,IID
TGFB1,SALL1,P01137,Q9NSC2,IID
TGFB1,CXCL12,P01137,P48061,IID
TGFB1,LMNA,P01137,P02545,IID
TGFB1,FURIN,P01137,P09958,IID
TGFB1,GP2,P01137,P55259,IID
TGFB1,SMURF1,P01137,Q9HCE7,IID
TGFB1,TLR7,P01137,Q9NYK1,IID
TGFB1,TGFBRAP1,P01137,Q8WUH2,IID
TGFB1,SIX5,P01137,Q8N196,IID
TGFB1,DNMT1,P01137,P26358,IID
