#rank	DIAMOnD_node
1	6352
2	2833
3	29817
4	1232
5	6349
6	633
7	3716
8	6778
9	3718
10	3561
11	6461
12	3717
13	6777
14	3560
15	6774
16	6776
17	2690
18	5770
19	5781
20	9021
21	3643
22	3667
23	8651
24	2887
25	8660
26	3480
27	5295
28	5747
29	6464
30	3572
31	2064
32	5777
33	2885
34	2057
35	5335
36	3815
37	867
38	7409
39	6714
40	2185
41	25
42	1796
43	5921
44	1956
45	2065
46	1399
47	6850
48	868
49	5296
50	7535
51	1398
52	2534
53	27040
54	5336
55	6452
56	3937
57	6654
58	3932
59	2260
60	3702
61	1436
62	9564
63	4690
64	4067
65	3635
66	8503
67	9846
68	5159
69	7006
70	7454
71	3055
72	613
73	5829
74	9046
75	5979
76	10657
77	1445
78	5175
79	30011
80	29760
81	8440
82	27
83	2066
84	9743
85	695
86	17196
87	2268
88	2549
89	10188
90	55824
91	10818
92	356
93	7525
94	9402
95	5782
96	2263
97	4734
98	4739
99	2889
100	5290
101	4233
102	238
103	5291
104	3320
105	7297
106	4915
107	916
108	919
109	6503
110	5156
111	10451
112	50807
113	79705
114	558
115	3791
116	9047
117	3690
118	11184
119	4058
120	3636
121	10603
122	84959
123	7132
124	6772
125	999
126	10580
127	4914
128	1969
129	6655
130	25970
131	5801
132	857
133	7410
134	8935
135	7048
136	207
137	5894
138	960
139	23624
140	2264
141	54206
142	25759
143	2321
144	11140
145	2241
146	2017
147	3326
148	4486
149	2911
150	1030
151	1019
152	5607
153	1021
154	6794
155	11014
156	894
157	26524
158	84662
159	5606
160	8678
161	4771
162	3082
163	405
164	4217
165	7015
166	51343
167	11186
168	8463
169	1029
170	1031
171	369
172	4609
173	94015
174	898
175	7248
176	5608
177	5728
178	203068
179	7157
180	2648
181	1432
182	1499
183	3091
184	10273
185	3312
186	6790
187	5970
188	673
189	3303
190	5594
191	7531
192	4194
193	8826
194	8471
195	10383
196	10013
197	7846
198	7534
199	3301
200	1027
